fname,lname,email,phone,party,district,state,assembly
,,,,,,,
Rebecca,Alexander,rep.rebecca.alexander@capitol.tn.gov,(615) 741-2251,R,District 7,TN,House
Charlie,Baum,rep.charlie.baum@capitol.tn.gov,(615) 741-6849,R,District 37,TN,House
Bill,Beck,rep.bill.beck@capitol.tn.gov,(615) 741-3229,D,District 51,TN,House
Clark,Boyd,Rep.Clark.Boyd@capitol.tn.gov,(615) 741-7086,R,District 46,TN,House
Rush,Bricken,rep.rush.bricken@capitol.tn.gov,(615) 741-7448,R,District 47,TN,House
David,Byrd,rep.david.byrd@capitol.tn.gov,(615) 741-2190,R,District 71,TN,House
Kent,Calfee,rep.kent.calfee@capitol.tn.gov,(615) 741-7658,R,District 32,TN,House
Scotty,Campbell,rep.scotty.campbell@capitol.tn.gov,(615) 741-2050,R,District 3,TN,House
Karen D.,Camper,rep.karen.camper@capitol.tn.gov,(615) 741-1898,D,District 87,TN,House
Dale,Carr,rep.dale.carr@capitol.tn.gov,(615) 741-5981,R,District 12,TN,House
Michele,Carringer,rep.michele.carringer@capitol.tn.gov,(615) 741-1721,R,District 16,TN,House
Glen,Casada,rep.glen.casada@capitol.tn.gov,(615) 741-4389,R,District 63,TN,House
Scott,Cepicky,rep.scott.cepicky@capitol.tn.gov,(615) 741-3005,R,District 64,TN,House
Jesse,Chism,rep.jesse.chism@capitol.tn.gov,(615) 741-6954,D,District 85,TN,House
John Ray,Clemmons,rep.john.ray.clemmons@capitol.tn.gov,(615) 741-4410,D,District 55,TN,House
Mark,Cochran,rep.mark.cochran@capitol.tn.gov,(615) 741-1725,R,District 23,TN,House
Barbara,Cooper,rep.barbara.cooper@capitol.tn.gov,(615) 741-4295,D,District 86,TN,House
John,Crawford,rep.john.crawford@capitol.tn.gov,(615) 741-7623,R,District 1,TN,House
Tandy,Darby,rep.tandy.darby@capitol.tn.gov,(615) 741-7847,R,District 76,TN,House
Vincent,Dixie,rep.vincent.dixie@capitol.tn.gov,(615) 741-1997,D,District 54,TN,House
Clay,Doggett,rep.clay.doggett@capitol.tn.gov,(615) 741-7476,R,District 70,TN,House
Rick,Eldridge,rep.rick.eldridge@capitol.tn.gov,(615) 741-6877,R,District 10,TN,House
Jeremy,Faison,rep.jeremy.faison@capitol.tn.gov,(615) 741-6871,R,District 11,TN,House
Andrew,Farmer,rep.andrew.farmer@capitol.tn.gov,(615) 741-4419,R,District 17,TN,House
Bob,Freeman,rep.bob.freeman@capitol.tn.gov,(615) 741-0709,D,District 56,TN,House
Ron M.,Gant,rep.ron.gant@capitol.tn.gov,(615) 741-6890,R,District 94,TN,House
Johnny,Garrett,rep.johnny.garrett@capitol.tn.gov,(615) 741-3893,R,District 45,TN,House
John,Gillespie,rep.john.gillespie@capitol.tn.gov,(615) 741-8201,R,District 97,TN,House
,,,,,,,
Rusty,Grills,rep.rusty.grills@capitol.tn.gov,(615) 741-0718,R,District 77,TN,House
